Date,Ticker,Open,High,Low,Close,Volume
2025-06-30,BUMI.JK,118.83,120.55,116.8,118.55,1127921
2025-07-01,BUMI.JK,118.87,119.17,116.81,118.1,3672385
2025-07-02,BUMI.JK,118.95,120.28,117.81,118.24,900764
2025-07-03,BUMI.JK,119.5,120.13,117.77,119.5,653599
2025-07-04,BUMI.JK,119.52,119.83,118.38,119.33,935187
2025-07-07,BUMI.JK,118.71,120.6,118.23,120.5,1007371
2025-07-08,BUMI.JK,119.86,121.95,119.5,120.65,1435037
2025-07-09,BUMI.JK,116.47,117.26,114.42,115.98,829927
2025-07-10,BUMI.JK,113.86,115.69,112.58,113.82,466345
2025-07-11,BUMI.JK,112.73,113.76,111.76,113.49,1880038
2025-07-14,BUMI.JK,110.23,110.94,109.31,110.78,2803172
2025-07-15,BUMI.JK,113.74,114.24,111.4,112.12,1829756
2025-07-16,BUMI.JK,115.57,115.78,115.47,115.6,1416506
2025-07-17,BUMI.JK,117.54,120.03,117.11,118.45,1612285
2025-07-18,BUMI.JK,118.0,118.8,117.78,117.95,2131284
2025-07-21,BUMI.JK,121.6,124.92,119.18,121.52,1370815
2025-07-22,BUMI.JK,122.58,124.06,121.55,121.88,830187
2025-07-23,BUMI.JK,121.31,122.59,120.58,121.06,1723529
2025-07-24,BUMI.JK,119.62,119.64,119.54,119.58,1072983
2025-07-25,BUMI.JK,119.35,120.65,118.37,118.86,413036
2025-07-28,BUMI.JK,120.01,120.67,117.34,117.94,557129
2025-07-29,BUMI.JK,117.86,118.47,117.26,118.35,237846
2025-07-30,BUMI.JK,117.55,120.35,117.02,118.73,607020
2025-07-31,BUMI.JK,116.22,120.69,115.89,118.73,1162875
2025-08-01,BUMI.JK,119.61,120.15,119.43,119.78,892936
2025-08-04,BUMI.JK,123.59,124.1,121.81,122.66,1201634
2025-08-05,BUMI.JK,125.01,125.7,124.97,125.02,297565
2025-08-06,BUMI.JK,122.57,123.21,121.31,121.36,1555851
2025-08-07,BUMI.JK,112.42,117.2,112.15,115.31,457822
2025-08-08,BUMI.JK,119.09,120.33,116.75,117.49,767569
2025-08-11,BUMI.JK,115.18,115.22,113.58,114.32,445942
2025-08-12,BUMI.JK,113.63,114.02,113.49,113.81,1790275
2025-08-13,BUMI.JK,109.98,112.86,109.6,111.18,1239128
2025-08-14,BUMI.JK,106.7,108.1,106.58,107.24,1414184
2025-08-15,BUMI.JK,109.34,109.41,108.06,108.41,1243935
2025-08-18,BUMI.JK,109.92,110.94,108.69,110.07,1571400
2025-08-19,BUMI.JK,108.56,109.43,107.82,108.8,723986
2025-08-20,BUMI.JK,103.05,103.76,102.27,103.31,670590
2025-08-21,BUMI.JK,103.12,103.45,100.92,102.19,864239
2025-08-22,BUMI.JK,103.07,105.35,102.91,102.99,457675
2025-08-25,BUMI.JK,100.34,101.74,98.95,99.99,1161110
2025-08-26,BUMI.JK,101.26,101.37,98.3,100.36,686674
2025-08-27,BUMI.JK,100.83,101.07,99.92,100.33,2551416
2025-08-28,BUMI.JK,100.93,102.54,99.08,101.5,1716048
2025-08-29,BUMI.JK,101.31,102.67,100.68,101.74,845871
2025-09-01,BUMI.JK,99.21,101.0,98.88,99.78,817238
2025-09-02,BUMI.JK,103.22,103.38,102.03,102.19,1012183
2025-09-03,BUMI.JK,101.73,103.12,98.93,101.87,2026094
2025-09-04,BUMI.JK,100.81,102.2,99.78,101.81,1810662
2025-09-05,BUMI.JK,101.47,102.1,99.74,99.93,3650199
2025-09-08,BUMI.JK,99.17,100.22,97.93,99.05,604549
2025-09-09,BUMI.JK,97.31,98.87,96.44,97.31,1768159
2025-09-10,BUMI.JK,96.72,98.57,96.33,96.98,1522433
2025-09-11,BUMI.JK,100.34,100.64,100.18,100.35,1314382
2025-09-12,BUMI.JK,98.04,99.03,96.43,97.64,1647329
2025-09-15,BUMI.JK,93.75,96.34,93.37,94.54,805888
2025-09-16,BUMI.JK,95.95,98.1,95.79,97.36,1152166
2025-09-17,BUMI.JK,97.57,98.13,96.56,96.95,878576
2025-09-18,BUMI.JK,95.36,96.84,94.97,95.66,1292985
2025-09-19,BUMI.JK,98.33,99.73,95.56,97.68,1093945
2025-09-22,BUMI.JK,96.81,97.83,95.52,96.5,935834
2025-09-23,BUMI.JK,100.07,101.75,99.04,100.09,614304
2025-09-24,BUMI.JK,100.26,101.79,100.19,101.46,1180561
2025-09-25,BUMI.JK,101.65,101.82,100.01,100.47,1099933
2025-09-26,BUMI.JK,106.94,107.02,104.85,104.9,626429
2025-09-29,BUMI.JK,101.59,104.41,101.23,103.64,1721147
2025-09-30,BUMI.JK,105.33,106.56,104.94,105.19,990337
