Date,Ticker,Open,High,Low,Close,Volume
2025-06-30,GOTO.JK,52.37,53.07,51.7,52.01,1239625
2025-07-01,GOTO.JK,51.38,52.39,51.34,51.99,1109427
2025-07-02,GOTO.JK,52.52,52.57,51.04,52.2,980416
2025-07-03,GOTO.JK,52.96,53.24,51.59,52.05,1406002
2025-07-04,GOTO.JK,51.38,51.78,51.32,51.45,1117469
2025-07-07,GOTO.JK,51.05,51.51,50.84,50.89,787120
2025-07-08,GOTO.JK,51.26,51.69,50.52,50.86,1142849
2025-07-09,GOTO.JK,49.68,50.33,49.67,50.31,1560202
2025-07-10,GOTO.JK,49.92,50.32,48.32,49.6,772097
2025-07-11,GOTO.JK,50.29,50.31,48.85,49.7,2023186
2025-07-14,GOTO.JK,49.7,49.97,48.92,49.45,810508
2025-07-15,GOTO.JK,50.82,51.21,50.7,50.96,868582
2025-07-16,GOTO.JK,48.04,48.34,47.81,48.33,2171135
2025-07-17,GOTO.JK,48.95,50.07,48.84,49.39,607030
2025-07-18,GOTO.JK,50.56,51.46,49.76,50.64,570432
2025-07-21,GOTO.JK,48.32,48.92,47.22,48.58,1210707
2025-07-22,GOTO.JK,48.15,48.8,48.01,48.25,732296
2025-07-23,GOTO.JK,48.31,48.32,47.82,47.9,757494
2025-07-24,GOTO.JK,45.71,47.76,45.28,46.57,2034504
2025-07-25,GOTO.JK,45.19,46.02,44.95,45.85,751733
2025-07-28,GOTO.JK,44.88,45.19,44.45,44.84,736096
2025-07-29,GOTO.JK,47.23,47.67,45.33,46.44,823780
2025-07-30,GOTO.JK,47.51,47.92,47.22,47.32,501746
2025-07-31,GOTO.JK,48.59,49.12,48.44,48.54,693873
2025-08-01,GOTO.JK,48.78,49.33,48.25,49.24,3537662
2025-08-04,GOTO.JK,48.02,48.58,47.28,48.14,766872
2025-08-05,GOTO.JK,47.86,48.28,47.06,47.64,1507181
2025-08-06,GOTO.JK,48.52,48.89,47.39,48.11,1288703
2025-08-07,GOTO.JK,46.44,47.49,46.41,46.95,919836
2025-08-08,GOTO.JK,48.08,48.21,47.49,47.62,1076114
2025-08-11,GOTO.JK,47.57,48.03,47.38,47.39,1100263
2025-08-12,GOTO.JK,46.88,47.31,46.36,47.04,1023489
2025-08-13,GOTO.JK,47.36,47.84,46.78,47.71,953469
2025-08-14,GOTO.JK,49.08,49.15,48.03,48.14,1149711
2025-08-15,GOTO.JK,47.75,47.87,47.45,47.79,1068744
2025-08-18,GOTO.JK,49.35,49.43,48.87,48.91,704645
2025-08-19,GOTO.JK,47.12,49.23,46.81,47.87,2187505
2025-08-20,GOTO.JK,48.97,48.97,48.15,48.46,967659
2025-08-21,GOTO.JK,49.33,49.45,48.89,49.04,600125
2025-08-22,GOTO.JK,48.57,49.12,48.36,48.73,1425009
2025-08-25,GOTO.JK,49.22,49.27,48.44,49.05,2517631
2025-08-26,GOTO.JK,47.44,48.08,47.0,47.84,585644
2025-08-27,GOTO.JK,48.46,49.05,48.44,48.73,534849
2025-08-28,GOTO.JK,47.63,49.18,47.27,48.55,2058303
2025-08-29,GOTO.JK,48.75,49.07,47.03,48.05,1379003
2025-09-01,GOTO.JK,48.86,49.09,48.5,49.07,1943666
2025-09-02,GOTO.JK,48.33,48.99,48.23,48.38,713055
2025-09-03,GOTO.JK,47.21,47.36,47.0,47.04,2460759
2025-09-04,GOTO.JK,45.73,46.15,45.38,45.6,797595
2025-09-05,GOTO.JK,46.31,46.45,45.45,46.15,297619
2025-09-08,GOTO.JK,44.49,45.03,44.43,44.98,998200
2025-09-09,GOTO.JK,46.02,47.32,46.01,46.59,560356
2025-09-10,GOTO.JK,44.78,45.07,44.63,44.69,606039
2025-09-11,GOTO.JK,45.74,46.91,45.44,46.23,868880
2025-09-12,GOTO.JK,46.36,46.49,46.03,46.43,1030264
2025-09-15,GOTO.JK,46.96,47.32,45.54,46.34,723634
2025-09-16,GOTO.JK,46.39,46.46,45.78,45.84,1932273
2025-09-17,GOTO.JK,46.49,46.77,45.74,46.2,1103845
2025-09-18,GOTO.JK,46.06,46.2,46.04,46.17,851995
2025-09-19,GOTO.JK,47.52,47.67,46.95,47.2,1236250
2025-09-22,GOTO.JK,47.53,47.85,46.7,47.31,1019183
2025-09-23,GOTO.JK,47.42,47.9,47.4,47.45,1061853
2025-09-24,GOTO.JK,47.18,47.44,46.49,47.11,785375
2025-09-25,GOTO.JK,46.31,47.35,46.27,47.05,2196781
2025-09-26,GOTO.JK,47.73,48.09,46.78,47.34,1714875
2025-09-29,GOTO.JK,45.93,46.29,45.4,45.75,980929
2025-09-30,GOTO.JK,44.41,44.8,43.75,44.53,731409
2025-10-01,GOTO.JK,45.29,46.2,45.0,45.2,1218842
2025-10-02,GOTO.JK,44.9,45.6,44.22,45.36,1312324
2025-10-03,GOTO.JK,45.33,45.63,44.88,45.19,830849
2025-10-06,GOTO.JK,44.84,45.44,44.62,45.21,523435
2025-10-07,GOTO.JK,44.98,45.67,44.4,45.52,1786776
2025-10-08,GOTO.JK,45.0,45.08,44.92,45.03,1645646
2025-10-09,GOTO.JK,44.33,44.54,43.83,44.34,781235
2025-10-10,GOTO.JK,44.58,44.61,44.49,44.51,851447
2025-10-13,GOTO.JK,44.38,44.59,42.96,43.65,2824620
2025-10-14,GOTO.JK,43.85,44.08,43.84,44.01,1438807
2025-10-15,GOTO.JK,42.57,42.59,42.33,42.53,1026313
2025-10-16,GOTO.JK,43.45,43.78,43.39,43.42,1581168
2025-10-17,GOTO.JK,43.98,44.26,43.42,43.83,1189156
2025-10-20,GOTO.JK,44.02,44.07,43.88,44.06,1358507
2025-10-21,GOTO.JK,44.49,45.05,44.04,44.93,590545
2025-10-22,GOTO.JK,46.5,46.68,45.57,46.45,1078109
2025-10-23,GOTO.JK,47.38,47.99,46.58,47.4,1200190
2025-10-24,GOTO.JK,45.89,46.14,45.36,45.69,1376253
2025-10-27,GOTO.JK,44.85,45.05,44.45,44.54,564676
2025-10-28,GOTO.JK,43.24,44.05,42.69,43.98,1174307
2025-10-29,GOTO.JK,43.79,44.7,43.18,44.01,1234863
2025-10-30,GOTO.JK,44.7,44.95,43.87,44.46,861757
2025-10-31,GOTO.JK,43.2,43.96,43.19,43.82,1989440
2025-11-03,GOTO.JK,44.08,44.25,43.7,43.99,609146
2025-11-04,GOTO.JK,43.21,43.57,43.18,43.33,340719
2025-11-05,GOTO.JK,42.78,43.43,42.22,42.8,1633757
