Date,Ticker,Open,High,Low,Close,Volume
2025-06-30,BBCA.JK,9506.19,9598.59,9479.13,9594.85,587927
2025-07-01,BBCA.JK,9396.34,9656.49,9354.86,9568.35,1267182
2025-07-02,BBCA.JK,9690.84,9711.6,9542.33,9693.1,1501941
2025-07-03,BBCA.JK,9922.54,10139.06,9853.47,9992.9,540407
2025-07-04,BBCA.JK,9974.26,10052.07,9839.98,9946.22,538765
2025-07-07,BBCA.JK,10022.17,10117.51,9684.42,9899.75,516733
2025-07-08,BBCA.JK,10231.23,10237.05,10179.7,10217.41,1157816
2025-07-09,BBCA.JK,10369.39,10392.3,10317.94,10375.45,699649
2025-07-10,BBCA.JK,10162.45,10331.59,10109.83,10278.48,1784784
2025-07-11,BBCA.JK,10438.11,10593.51,10233.52,10390.63,663423
2025-07-14,BBCA.JK,10281.23,10339.71,10262.35,10294.77,962182
2025-07-15,BBCA.JK,10177.15,10378.54,9973.63,10199.32,1185987
2025-07-16,BBCA.JK,10315.38,10357.51,10205.7,10248.8,585407
2025-07-17,BBCA.JK,9800.63,10135.11,9604.05,9864.03,1272821
2025-07-18,BBCA.JK,9616.29,9620.74,9487.47,9529.54,654818
2025-07-21,BBCA.JK,9448.78,9503.67,9379.81,9422.97,468872
2025-07-22,BBCA.JK,9115.45,9418.62,9082.82,9234.02,1029532
2025-07-23,BBCA.JK,9372.36,9481.85,9113.81,9292.23,564686
2025-07-24,BBCA.JK,9138.21,9171.06,8998.05,9125.01,1293722
2025-07-25,BBCA.JK,8956.99,9020.58,8709.17,8870.87,6864517
2025-07-28,BBCA.JK,9056.4,9220.58,9039.37,9134.75,784521
2025-07-29,BBCA.JK,9129.31,9188.89,9043.27,9093.59,1041786
2025-07-30,BBCA.JK,9056.33,9109.49,9026.41,9105.88,1032662
2025-07-31,BBCA.JK,8726.14,8898.59,8710.05,8850.07,583405
2025-08-01,BBCA.JK,8768.02,8805.56,8702.02,8754.24,363283
2025-08-04,BBCA.JK,8686.57,8835.23,8673.91,8773.68,1097711
2025-08-05,BBCA.JK,8611.48,8660.74,8498.71,8574.02,548730
2025-08-06,BBCA.JK,8641.19,8667.07,8576.39,8638.68,845987
2025-08-07,BBCA.JK,8526.87,8590.97,8346.41,8535.53,2889484
2025-08-08,BBCA.JK,8501.73,8524.54,8430.32,8485.88,1675702
2025-08-11,BBCA.JK,8380.97,8394.38,8380.4,8384.37,1248458
2025-08-12,BBCA.JK,8664.77,8717.39,8617.46,8700.8,1473023
2025-08-13,BBCA.JK,8711.82,8749.26,8651.78,8698.45,802500
2025-08-14,BBCA.JK,8585.47,8609.61,8441.42,8516.38,1067554
2025-08-15,BBCA.JK,8673.57,8690.33,8643.48,8657.64,1035517
2025-08-18,BBCA.JK,8505.2,8588.85,8354.34,8448.8,824764
2025-08-19,BBCA.JK,8424.45,8572.89,8331.09,8484.17,1150844
2025-08-20,BBCA.JK,8081.86,8187.81,8079.34,8158.08,732457
2025-08-21,BBCA.JK,7977.75,8003.09,7919.55,7944.22,1567998
2025-08-22,BBCA.JK,7957.95,8133.86,7920.0,7975.56,1166082
2025-08-25,BBCA.JK,8043.84,8257.58,7893.7,8094.23,1894267
2025-08-26,BBCA.JK,8109.61,8249.14,8004.78,8122.02,743946
2025-08-27,BBCA.JK,8239.28,8256.22,8082.35,8103.26,1920795
2025-08-28,BBCA.JK,8005.03,8172.91,8003.19,8054.61,1010557
2025-08-29,BBCA.JK,7835.47,7839.98,7749.73,7819.91,1049693
2025-09-01,BBCA.JK,7699.51,7786.39,7656.98,7708.14,1346594
2025-09-02,BBCA.JK,7714.03,7772.2,7495.68,7637.45,993895
2025-09-03,BBCA.JK,7838.76,7848.45,7762.24,7800.64,638504
2025-09-04,BBCA.JK,7861.8,7870.09,7835.32,7854.44,662913
2025-09-05,BBCA.JK,7632.19,7644.4,7575.86,7582.31,1129577
2025-09-08,BBCA.JK,7646.18,7646.59,7616.0,7631.62,484788
2025-09-09,BBCA.JK,7666.61,7761.41,7377.01,7573.07,494735
2025-09-10,BBCA.JK,7432.4,7482.16,7369.47,7471.23,1535459
2025-09-11,BBCA.JK,7583.98,7608.73,7562.14,7563.19,923144
2025-09-12,BBCA.JK,7723.85,7730.97,7710.67,7720.76,1296506
2025-09-15,BBCA.JK,7932.18,7952.14,7800.19,7865.91,2151939
2025-09-16,BBCA.JK,7839.53,7842.81,7733.63,7734.99,1118564
2025-09-17,BBCA.JK,7672.08,7736.16,7601.79,7687.3,1006316
2025-09-18,BBCA.JK,7785.13,7860.02,7658.95,7738.4,1546756
2025-09-19,BBCA.JK,7903.42,7915.05,7809.06,7890.87,1096004
2025-09-22,BBCA.JK,7799.39,7908.24,7774.17,7815.61,345781
2025-09-23,BBCA.JK,7797.31,7799.76,7622.2,7786.64,768836
2025-09-24,BBCA.JK,7685.34,7714.08,7559.75,7616.24,638133
2025-09-25,BBCA.JK,7506.78,7608.79,7236.89,7436.19,1278847
2025-09-26,BBCA.JK,7597.96,7628.41,7401.04,7558.02,1803483
2025-09-29,BBCA.JK,7694.1,7800.58,7628.59,7765.84,790896
2025-09-30,BBCA.JK,7743.1,7946.64,7563.54,7754.66,450582
2025-10-01,BBCA.JK,7987.96,7988.0,7840.3,7911.87,741049
2025-10-02,BBCA.JK,8084.35,8101.8,7785.87,7969.3,798490
2025-10-03,BBCA.JK,7822.66,7886.46,7724.45,7867.14,1365369
2025-10-06,BBCA.JK,7906.18,8001.78,7852.83,7924.21,1180758
2025-10-07,BBCA.JK,8268.68,8300.54,8085.01,8171.75,687809
2025-10-08,BBCA.JK,8114.94,8262.27,8015.29,8165.9,1380834
2025-10-09,BBCA.JK,8398.84,8468.68,8397.8,8425.47,1982414
2025-10-10,BBCA.JK,8000.48,8075.63,7942.04,7995.39,873975
2025-10-13,BBCA.JK,8183.56,8257.07,8062.54,8127.9,1431569
2025-10-14,BBCA.JK,8334.86,8352.72,8109.44,8142.07,426692
2025-10-15,BBCA.JK,8092.2,8245.68,8017.04,8093.52,972608
2025-10-16,BBCA.JK,8101.93,8152.53,8094.44,8108.39,1201173
2025-10-17,BBCA.JK,7759.67,7829.12,7697.09,7792.39,625039
2025-10-20,BBCA.JK,7726.09,7789.45,7723.39,7758.23,767107
2025-10-21,BBCA.JK,7811.28,7823.22,7801.08,7813.84,672713
2025-10-22,BBCA.JK,8059.12,8089.66,7991.01,8048.25,704784
2025-10-23,BBCA.JK,8011.38,8166.76,7951.89,7965.25,1112923
2025-10-24,BBCA.JK,7839.69,7990.7,7799.71,7837.49,871511
2025-10-27,BBCA.JK,7786.82,7823.26,7678.97,7759.24,316332
2025-10-28,BBCA.JK,7915.43,7924.01,7842.09,7902.6,4661980
2025-10-29,BBCA.JK,7926.24,7997.95,7903.28,7954.73,1750300
